resource,bytes,organisations,endpoints,start-date,end-date
010c50ef0b2538adaa53f941009d3884c037f7193a523930e1686e1c1365f553,6008832,local-authority-eng:HRY,3eef0f435a64ed77a3ff388c0a9c4a262480d8ae75829ee517cfe80f59ac3bd1,2021-12-16,2021-12-16
011b63ace112475a09de961a3da25ced0255f0816fc2967cbb96214cf1c41168,322855,national-park-authority:Q72617158,56cfafdfa80ac2c6797ba7b1797601d2a1300fd1c094ce69ce921e6dbc6addd6,2021-12-31,
01be951a7fa102d7b0fe11474d6f0425ec9a1adac10e062a203be8c3a2e03cde,1308307,local-authority-eng:KEN,006a45b593a03962463e446f2b307262111ffca242b03bfebf131d12c11e0ad4,2021-10-07,
0260ceb2ea6463461721c7e28b1a4dd9541d51aecb12eb9cf99199d14c3cd301,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-11-29,2022-01-02
02aacaa95c74a362e7d3a8dde05047cdad3cd9ae70f72d4a2f94c1bc690968b0,2833943,local-authority-eng:ASF,5ffd953359bbad7ebbe85c11a9b9314844508136defe451d172d7dbcc3786e43,2021-10-07,
049fdc0cd8ee6323e4497bb849332e2a420f8c1d95817eda9a3866dbe3601d28,116551,local-authority-eng:HAS,abb78faac017ea2422968a6c3ec485dc7ad5d77f12a1ee6784933aa66d416b8d,2021-10-07,2021-12-24
0525ecc75b20dd4ab673ffb340a9562bb5fe50e722b4be8e868b4a27c4052d63,3211264,local-authority-eng:HRY,3eef0f435a64ed77a3ff388c0a9c4a262480d8ae75829ee517cfe80f59ac3bd1,2021-12-15,2021-12-15
05f942c55ed2c4c6a4ae768c39a435348ee11d020965b737935877dcdbe3dfa3,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-12-15,2021-12-15
0688d28cc497f39e5b21e74048b2393c9ba177c24d14faf1adfeeb114ae665b1,6344704,local-authority-eng:HRY,3eef0f435a64ed77a3ff388c0a9c4a262480d8ae75829ee517cfe80f59ac3bd1,2021-11-05,2021-11-05
06c70151c526110dcd04a1da73c527cd9059c6e3c0b872e4e465db9715d6aefd,354380,local-authority-eng:RED,45f300b4a581c6877030dbe874221858846111f0330a50e3d3fee126222ac2a2,2021-12-31,
0714b0476fcfec1282edfa787d842abcd417751a83c1b0f072bb9d4fbb1cb28e,924281,local-authority-eng:BRO,2f828a84568c23486562ecfd764bddbe4f89d00c1ac906496aec0eaf80af1071,2021-10-07,
074ee8a00322c6e03bb5c32da2a9b6a4a9c98c67748d753cbacbc5c3b04ffa67,21414275,local-authority-eng:TWH,06c201ec324bdbfa4ddd41665fe88e1ec49853f48caf4ae2faa25da6f161cf5d,2021-10-07,
07d19622d1bc1dadbfc2036b04f62eb5645fcacb8c8cee96f661097ff5fd837f,2150513,local-authority-eng:LEC,5b9c17d3f7ffd940ecff9787781a1ee2b2871db723bff2173ae96d68159e7b8e,2021-10-07,
09caf6f7c20614c59ceb17721eb97a80c79afc091e5c4911b5ef53c7423f13d4,774173,local-authority-eng:COT,8ff069ad6d65f8535407e5dfddc444c6f2479cd3dc1e542fca94be7a9d133ffb,2021-10-07,
0b2e3a24d7afaf246af59140acf3a6b6dd251bf7492e7ac6a97a6752da51c0af,20264,local-authority-eng:HAA,6401ef6a1103b48fe5156eb2e84588f1d6fe545820aad851491e81b1fdc0eade,2021-10-07,
0b8e7bdbd201edfb611bd443853b5932317cdbdb92651b6bdfa0654fe86254fb,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-11-01,2021-11-10
0f3f9ac72b6c00a62b90817adeb3f9463f2557e4ccba021dfb8bf3a00d9fbfc4,492174,local-authority-eng:DAL,f233f3ad3bdb95a56e59bf33ac200b3db6dd2587708cc0f00b8b534daf02c579,2021-10-07,
1073479548b7f463221529fa0e050ac1608291d1c468f48b0cbbc138ad0f8c13,1337234,local-authority-eng:VAL,f1ac13636ccd14461d754556692ecdec6e14da1ef9db9d5e9cd980b059ca56e0,2021-10-07,
12cc46f327184365c7158234ea77a062590adb83749a7800a4c11a1055addb4b,498336,local-authority-eng:CAN,657ad06ae4155dead1e22f894b9537c6a64487de94964ea93a1a682dc3b8bf6a,2021-10-07,
15974a4c0732ddba422b8f0b8a217282872f724d94b73ff3ce9b074f02e0cc5d,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-10-30,2022-01-21
1614320d2e27ada16c8ffa6689b4bb4907ef4a619a23eddb36fa2a7cf5ded13b,1172000,local-authority-eng:OAD,48a948926953e43f0c102a69ed2a5aa0b4522276b82c265fcbb912e1b4ba3e2b,2021-12-31,
16588bc1d29e4a9dc98eee32e6903d43791c166874fd70c8383ca70a6785276f,5456678,local-authority-eng:ESX,b5e56c42088a0aa858db10997436f600cc23da67f5b82656bc7155ea40b83745,2021-10-07,
19754c7b5efdf964e6e2e944c6b80735735af807ecb11f8d9b0eb99fccab08a2,56309,local-authority-eng:HIL,84695afd27212cf886692211154139a0e4fb0bcf9ec644836e640eefb6a9e43b,2021-10-07,
1acccef654bd756bdab29929b9ad59b83c29312a93c53dca06d407d4411233ff,34916,local-authority-eng:SNO,ad08d49e3f178831c342360a1d8d6cdcd8a9d6dae49105c9f591d8a1dca6c647,2021-10-07,
1c324174481e18cc0934266b8e44a39abc5cced98e6673bfd142d1b8c637cd80,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-11-05,2021-12-17
1dec7f2e4c42ecaa22fd1e3a2819c9448c39faced8f6490c9685691bc6465e8e,246794,local-authority-eng:FOR,a0f121b413e9fa283d50308bd6c2c5a1363f3108fbf9a1d75326bb537e67e419,2021-10-07,
1fe9ee09fb2eefee27a8def4bcb165697975a97b3a7f8bfe9491512c12d928f9,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-10-25,2021-10-25
20d59633bb1a7c199bd8590f2d29f9589149d7ae2f2947e3cac6f5dab9857e0f,859073,local-authority-eng:SLA,c2800f5eddb8042eee5901688ab0093e0d275e11ba1b76d7ce288094b8b41809,2021-12-31,
222fc750b0a22b61f1779d962b49285f34dedfd7ca979de1d21f7b7e805c913c,2401775,local-authority-eng:HNS,b9ec34155080f77755fd92c8f06880e34da09dbb5c345652f8d00d8377b6a9d9,2021-10-07,
22497c57e2f735691170c0b3832b27af53a8f450b2e494420bd6d0f7a1c1d676,811980,local-authority-eng:CHS,1cec396c0ea7a162dc7d3ab591112b2de0a370355d362bfeca481db9549dc673,2021-11-26,
24fe3893a253997ee2751105ccc3d105ff13f29bc465f9b8ebcf4bd398764de4,87986,local-authority-eng:HIL,5b1d99712da8e130acbec3e4fbc3e06b3eeaf5014a67fa39af645c28a5f35ace,2021-10-07,
2691114f0fac692faa3c8679896753954c1bc80f1f07a388e57a39b743797ff1,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2022-01-13,2022-01-13
26c94df64e4d97db825d3b83400d380df065c16907752da7163c5d868e39ddb3,271522,local-authority-eng:BOL,d14e52ad200600c2fd38e39b3e879eda769690978498a1ba41200322eca601ce,2021-12-31,
27b46cee6d7a7464a17201c2192b3bbb4359698bafaaa8d1a231d76cb9f692a3,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-12-06,2021-12-06
28afa63b9ecc687591a915984001f428fda0b9696c84c13fd66b5c6b1e2b9743,332058,local-authority-eng:RUG,5c309afd1ea2267577faf3667ebdf9060e731fe2891e09d845d7426373ccdd4d,2021-12-31,
28df3c3e2041314c17bf57c254a0f10ead3d5cfffe9024215fbd42b1f1ac582d,154701,local-authority-eng:GRT,087ddd9f760a0484c52983764030316b4c33011ebc445fbdd9de3abad927be4a,2021-10-07,
2b55e2677181c9ef7bf19708899308409c080551d4c4942ab235af5d2c13c58b,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-10-07,
2b7f23737a9ae0f53cf9429aa762b33e9dcafba7dec578782660a60ee0667f8b,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2021-11-21,2022-01-08
2c1e9b9d8405837a5c74aadc78923a838f30b639d88447405101e0eb6cdda6bb,225882,local-authority-eng:FAR,9fc9a0c3d92a57e3d189547b24b0f7520c452f237720e63059c980108fbab17a,2022-01-14,2022-01-14
2cd8772eec715160cb3fb3fef2e214a29cdb92debc8af8e5280af9b341b37a0b,194297,local-authority-eng:HAA,d7f73ff4e465807fcb7befdf6a5bbda82cb7823e1c045b8f4c1c0dc7bd02fe46,2021-10-07,
2dbba6f63893052399afc38a89738fe20362fc2f421bedbc6c93ff92afeae2a0,5181440,local-authority-eng:HRY,3eef0f435a64ed77a3ff388c0a9c4a262480d8ae75829ee517cfe80f59ac3bd1,2021-11-28,2021-11-28
