documentation-url,document-url,end-date,entry-date,infrastructure-funding-statement,organisation,start-date,slug
https://www.adur-worthing.gov.uk/planning-policy/adur/adur-developer-contributions/developer-contributions-data-adur/,,,2020-12-21,cf6efb1d952d583c56c2b717b37b646f63d92f0f621c4be9255bf20ec90539e5,local-authority-eng:ADU,2020-12-21,/infrastructure-funding-statement/local-authority-eng/ADU/cf6efb1d952d583c56c2b717b37b646f63d92f0f621c4be9255bf20ec90539e5
https://www.ambervalley.gov.uk/planningobligations,,,2021-01-11,27a023382cbc90dbaa5d75680a98b9c1b1af555055d5a254fed47d832c4567c1,local-authority-eng:AMB,2021-01-11,/infrastructure-funding-statement/local-authority-eng/AMB/27a023382cbc90dbaa5d75680a98b9c1b1af555055d5a254fed47d832c4567c1
,,,2020-12-18,11f4fb07484fe4360fc6d9fd6605f7f056cc8ce054a55217b2ef8a6ec0febf5d,local-authority-eng:BAB,2020-12-18,/infrastructure-funding-statement/local-authority-eng/BAB/11f4fb07484fe4360fc6d9fd6605f7f056cc8ce054a55217b2ef8a6ec0febf5d
https://www.bolton.gov.uk/planning-policy-strategy/developer-contributions/1,,,2020-12-23,e16909fb53ee553936ef777578f4d6b35f64885829f1642be81163c3e499bd0f,local-authority-eng:BOL,2020-12-23,/infrastructure-funding-statement/local-authority-eng/BOL/e16909fb53ee553936ef777578f4d6b35f64885829f1642be81163c3e499bd0f
https://www.broxbourne.gov.uk/ifs,,,2020-12-22,90374df1b83326abb40001f3a05f9c90e39b5ba4af3762c0b5a5663246320969,local-authority-eng:BRX,2020-12-22,/infrastructure-funding-statement/local-authority-eng/BRX/90374df1b83326abb40001f3a05f9c90e39b5ba4af3762c0b5a5663246320969
https://www.charnwood.gov.uk/pages/106_agreements,,,2020-12-23,10fbff9a342fbc7317506e1c1f6c612d01fbe9643142bb755b99dd8064e288e6,local-authority-eng:CHA,2020-12-23,/infrastructure-funding-statement/local-authority-eng/CHA/10fbff9a342fbc7317506e1c1f6c612d01fbe9643142bb755b99dd8064e288e6
https://www.cherwell.gov.uk/info/115/planning/32/what-is-a-planning-obligation,,,2020-12-23,fd10411ca1265ebfaa179d3bd4ea2f65e559e2ac476f405790367703375b5f51,local-authority-eng:CHR,2020-12-23,/infrastructure-funding-statement/local-authority-eng/CHR/fd10411ca1265ebfaa179d3bd4ea2f65e559e2ac476f405790367703375b5f51
https://www.cheltenham.gov.uk/downloads/file/8295/cil_infrastructure_funding_statement,,,2021-01-04,bd592e3f245035bfbbbf2248182b8d9edab2fb3ecce01099dd405fd8c5256c0f,local-authority-eng:CHT,2021-01-04,/infrastructure-funding-statement/local-authority-eng/CHT/bd592e3f245035bfbbbf2248182b8d9edab2fb3ecce01099dd405fd8c5256c0f
https://cumbria.gov.uk/planning-environment/ifs.asp,,,2021-01-04,bdb90ec7d666a63c59d12144ec9df3388aed7dd11bcbeaafadb331755b1181d0,local-authority-eng:CMA,2021-01-04,/infrastructure-funding-statement/local-authority-eng/CMA/bdb90ec7d666a63c59d12144ec9df3388aed7dd11bcbeaafadb331755b1181d0
https://www.copeland.gov.uk/content/monitoring,,,2020-12-18,7c7548db24dba2273f84e7c9c84f768fb03f42d7912a1685e179e774ff961ebe,local-authority-eng:COP,2020-12-18,/infrastructure-funding-statement/local-authority-eng/COP/7c7548db24dba2273f84e7c9c84f768fb03f42d7912a1685e179e774ff961ebe
